ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.3688064789026597,92.3917,0.717201,-0.021567,1.41433,1.43109,1.49534,1.61862,1.827,2.17802,2.81714,4.2548,48.5881,35.4734,25.7687,19.3308,15.2414,12.6311,10.936,9.83011,9.12988,8.73326,8.58777
1.0,0.0,0.38241036621380675,101.41,0.716214,-0.114567,1.71452,1.70594,1.75314,1.86462,2.06318,2.40005,3.00193,4.29418,124.373,43.4168,28.3942,21.8936,18.095,15.375,13.4513,12.1116,11.2065,10.6387,10.3499
1.0,0.0,0.3972830940364335,67.3001,-0.608826,0.199364,8.20459,8.63269,9.4043,10.675,12.7735,16.4703,23.9664,43.9125,117.125,10.2892,5.41084,3.76755,2.96222,2.50439,2.22827,2.06372,1.97803,1.95648,1.99554
1.0,0.0,-7.353217814875812E-4,199.279,0.209366,0.0244039,4.74522,4.83925,5.09502,5.55763,6.32397,7.60343,9.90938,14.8714,31.7172,166.796,36.7166,19.8883,13.9279,10.9728,9.28495,8.26476,7.65617,7.33874,7.25836
1.0,0.0,0.021480740609840263,86.1533,-0.739044,0.153544,10.5342,10.9017,11.5783,12.646,14.2451,16.6056,20.1033,25.3161,33.0338,44.028,6.07335,3.47942,2.57516,2.11152,1.84318,1.68414,1.59731,1.5661,1.5851
1.0,0.0,0.019739720806558978,101.082,-0.738654,0.0338529,10.4373,10.6392,11.158,12.0663,13.5066,15.742,19.2609,24.8032,32.9366,44.0804,10.0942,4.43829,3.0306,2.37095,2.00185,1.78118,1.6508,1.58399,1.56899
1.0,0.0,0.3588421556491887,55.947,0.904942,-0.0183155,0.475371,0.481425,0.503909,0.547077,0.620719,0.74738,0.989672,1.64586,19.3469,17.3683,15.5845,14.0402,12.7504,11.7088,10.8965,10.2908,9.87045,9.61889,9.52556
1.0,0.0,-0.00546251019304906,145.204,-0.204559,-0.138414,7.29789,7.23212,7.39252,7.80548,8.54633,9.7777,11.86,15.7269,24.7763,169.968,60.4518,21.3484,12.4511,8.91281,7.09371,6.03845,5.39673,5.01453,4.81842
1.0,0.0,0.009313055144400693,149.724,-0.476939,0.0300477,8.86546,9.04225,9.50756,10.3359,11.6811,13.8522,17.5105,24.2171,37.8651,65.6101,20.4574,8.94865,6.09695,4.76319,4.01756,3.57179,3.30797,3.17195,3.1398
0.0,1.0,-0.001630858021420174,149.578,-0.296356,-0.0217721,7.77994,7.86832,8.20696,8.85159,9.92495,11.6818,14.6938,20.4702,34.1791,61.0125,36.3332,13.6592,8.90491,6.78997,5.63368,4.94599,4.53271,4.30527,4.22287
1.0,0.0,-0.007869361693133516,133.496,-0.275411,-0.183603,7.78597,7.6528,7.76059,8.12721,8.81877,9.98259,11.9446,15.5345,23.7228,128.906,59.0433,22.507,12.505,8.68711,6.78338,5.69643,5.03722,4.63852,4.42102
1.0,0.0,-0.01570000070533345,99.128,0.387177,-0.310143,3.86115,3.71101,3.67972,3.76232,3.97297,4.37216,5.09086,6.5044,11.6266,41.4543,28.7489,23.2225,18.8577,15.5233,13.0826,11.3376,10.1094,9.26481,8.7137
1.0,0.0,-0.0015550598259598482,103.167,0.270243,0.0140974,4.37898,4.45761,4.68404,5.0979,5.78478,6.92889,8.97716,13.3192,27.409,200.0,40.6448,21.4548,14.8811,11.6621,9.83377,8.73032,8.06998,7.72061,7.62222
1.0,0.0,0.013315473189819826,124.836,0.0447286,0.125668,5.77765,6.00281,6.45245,7.21591,8.48387,10.7066,15.2185,24.1109,34.9895,48.1843,21.3085,13.4548,10.2764,8.50552,7.44135,6.79346,6.42639,6.27576,6.31763
0.0,1.0,-0.3665968703977358,94.9218,-0.781047,0.027891,10.6898,10.8721,11.3509,12.1831,13.4753,15.4097,18.2837,22.5547,28.8192,37.581,48.8042,3.90014,2.59357,2.01031,1.68938,1.49884,1.38639,1.32832,1.31424
1.0,0.0,0.36721378201515403,123.08,0.626002,-0.0165102,2.24431,2.2728,2.37656,2.57404,2.90663,3.46526,4.47765,6.72049,63.4328,48.5505,33.547,23.8377,18.1302,14.7121,12.5845,11.2331,10.3929,9.92381,9.75725
1.0,0.0,-0.010446571418565913,155.082,-0.222829,-0.144359,7.41124,7.34018,7.48755,7.87542,8.56713,9.69365,11.5285,14.8337,22.221,110.922,59.7007,24.5839,13.4071,9.1681,7.11684,5.98561,5.3136,4.91722,4.71327
1.0,0.0,0.0025301047719264425,118.224,-0.0905139,-9.09401E-4,16.3577,16.6074,17.4018,18.8783,21.3372,25.4205,32.664,47.7076,93.717,200.0,78.9702,39.9873,27.3276,21.2467,17.8224,15.761,14.5226,13.855,13.6423
1.0,0.0,-0.0037763685839340513,178.253,0.462222,-2.40501E-4,3.22667,3.27631,3.43345,3.72532,4.21127,5.01837,6.45065,9.42792,18.5563,200.0,50.5926,25.6685,17.554,13.6528,11.4551,10.132,9.3372,8.90905,8.77333
1.0,0.0,0.010549560231619194,286.746,0.466256,0.0775215,8.03076,8.2731,8.81326,9.75587,11.3281,14.0596,19.4478,33.2581,128.159,195.528,78.1975,49.8174,37.3851,30.6644,26.6789,24.2334,22.7837,22.0922,22.0566
